,0000000
GiveUpTime,0.7
PondTime,47.816
TimeLeft,1012.787
PondOutcome,55
TotalOutcome,154
PondStart,PondStart
PondIntroTime,17.66978488303721
Type,RD
FishN,12
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.909
Pond1Fish1_PondTime,9.735
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,166
Pond1Fish1_TimeLeft,984.754
Type,RD
FishN,12
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.814
Pond1Fish2_PondTime,18.102
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,178
Pond1Fish2_TimeLeft,976.387
Type,RD
FishN,12
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.078
Pond1Fish3_PondTime,27.136
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,190
Pond1Fish3_TimeLeft,967.353
PondEnd_LastFish,3
FishN,12
Type,RD
GiveUpTime,6.72
PondTime,33.136
TimeLeft,960.852
PondOutcome,36
TotalOutcome,190
PondStart,PondStart
PondIntroTime,12.523128215689212
