,619470
PlayerDetails,619470
GameCompleted,finished
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0.1
RT_GoldFishOutcome,20
RT_BlueFishProbability,0.9
RT_BlueFishOutcome,10
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,0
N_GreenFishOutcome,0
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,RT
Pond1FishN,12
Pond2Type,RT
Pond2FishN,14
Pond3Type,RT
Pond3FishN,19
Pond4Type,RT
Pond4FishN,17
Pond5Type,RT
Pond5FishN,19
Pond6Type,RT
Pond6FishN,14
Pond7Type,RT
Pond7FishN,12
Pond8Type,RT
Pond8FishN,12
Pond9Type,RT
Pond9FishN,17
Pond10Type,RT
Pond10FishN,16
Pond11Type,RT
Pond11FishN,14
Pond12Type,RT
Pond12FishN,15
Date:,Fri Nov 08 2019 10:42:48 GMT+0000 (Greenwich Mean Time)
Pond8_Type,RT
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,1.334
Pond8Fish1_PondTime,7.353
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,10
Pond8Fish1_TimeLeft,1192.647
Pond8_Type,RT
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,1.011
Pond8Fish2_PondTime,15.749
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,20
Pond8Fish2_TimeLeft,1184.251
Pond8_Type,RT
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.944
Pond8Fish3_PondTime,24.815
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,30
Pond8Fish3_TimeLeft,1175.185
Pond8_Type,RT
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,1.224
Pond8Fish4_PondTime,34.709
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,40
Pond8Fish4_TimeLeft,1165.291
Pond8_Type,RT
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.041
Pond8Fish5_PondTime,45.68
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,50
Pond8Fish5_TimeLeft,1154.32
Pond8_Type,RT
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.441
Pond8Fish6_PondTime,58.072
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,60
Pond8Fish6_TimeLeft,1141.928
Pond8_GiveUpTime,3.904
Pond8_PondTime,62.031
Pond8_PondOutcome,60
Pond8_TotalOutcome,60
Pond8_TimeLeft,1137.969
Pond6IntroTime,19.837040258571506
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.088
Pond6Fish1_PondTime,29.4
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,70
Pond6Fish1_TimeLeft,1108.569
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.172
Pond6Fish2_PondTime,36.789
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,80
