,1
PlayerDetails,1
GameCompleted,exited
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Fri Dec 20 2019 15:28:08 GMT+0200 (שעון ישראל (חורף))
Type,RT
FishN,19
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.96
Pond12Fish1_PondTime,9.263
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1193.136
PondEnd_LastFish,1
FishN,19
Type,RT
GiveUpTime,0.677
PondTime,16.722
TimeLeft,1185.176
PondOutcome,10
TotalOutcome,10
PondStart,PondStart
PondIntroTime,17.041471733246
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.868
Pond1Fish1_PondTime,7.801
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,21
Pond1Fish1_TimeLeft,1159.72
PondEnd_LastFish,1
FishN,16
Type,N
GiveUpTime,2.269
PondTime,9.151
TimeLeft,1157.868
PondOutcome,11
TotalOutcome,21
PondStart,PondStart
PondIntroTime,16.32763001602143
